Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Air Temperature in degrees C,Dew point temperature in degrees C,Relative humidity in percentage %,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,28,5,30,14.8,7.2,60,1.4,350,11
2016,5,28,6,0,15,8,63,0.6,250,9
2016,5,28,6,30,15.5,8.1,61,0,0,0
2016,5,28,7,0,16,9.2,64,1.4,40,9
2016,5,28,7,30,16.7,8.2,57,1.1,330,8
2016,5,28,8,0,16.7,9.8,64,2.5,30,11
2016,5,28,8,30,16.9,9.6,62,3.1,340,15
2016,5,28,9,0,17,10.2,64,3.1,10,17
2016,5,28,9,30,17.8,10.5,62,3.1,30,15
2016,5,28,10,0,17.8,10.7,63,3.1,50,15
2016,5,28,10,30,17.9,10.8,63,1.1,130,9
2016,5,28,11,0,18.1,10.8,62,3.6,230,21
2016,5,28,11,30,18.5,10.7,60,2.5,230,11
2016,5,28,12,0,18.1,11.1,64,3.1,250,13
2016,5,28,12,30,18,10.1,60,3.6,260,18
2016,5,28,13,0,18,10.3,61,3.1,200,15
2016,5,28,13,30,18.3,11.1,63,2.5,250,17
2016,5,28,14,0,18.4,10.8,61,7.2,240,39
2016,5,28,14,30,18.1,11.3,64,6.7,270,33
2016,5,28,15,0,17.2,11,67,6.1,280,30
2016,5,28,15,30,16.9,10.9,68,5.8,290,28
2016,5,28,16,0,16.2,11.4,73,6.7,270,35
2016,5,28,16,30,15.8,11.3,75,7.2,270,35
2016,5,28,17,0,15.7,11.6,77,3.6,270,21
2016,5,28,17,30,15.7,11.8,78,6.1,260,30
2016,5,28,18,0,15.7,12.8,83,6.1,250,31
2016,5,28,18,30,15.8,12.9,83,4.2,260,18
2016,5,28,19,0,15.8,12.3,80,5.8,250,30
2016,5,28,19,30,15.5,12.2,81,3.6,260,18
2016,5,28,20,0,15.3,12,81,3.1,270,18
2016,5,28,20,30,15.4,12.1,81,2.2,250,13
2016,5,28,21,0,13.4,12.1,92,0,0,5
2016,5,28,21,30,11.7,10.9,95,0,0,0
2016,5,28,22,0,12.2,11.4,95,1.4,30,8
2016,5,28,22,30,11.9,11.5,97,0.6,20,9
2016,5,28,23,0,11.9,11.5,97,0,0,0
2016,5,28,23,30,11.7,10.9,95,1.1,70,9
2016,5,29,0,0,12,10.8,92,1.1,10,9
2016,5,29,0,30,11.6,10.6,94,1.4,320,9
2016,5,29,1,0,11,10.2,95,0,0,8
2016,5,29,1,30,10.7,10.1,96,1.1,140,8
2016,5,29,2,0,10.7,10.3,97,0.6,100,8
2016,5,29,2,30,10.9,9.9,94,0.6,60,8
2016,5,29,3,0,10.5,9.7,95,0.6,110,5
2016,5,29,3,30,10.3,9.7,96,0.6,60,8
2016,5,29,4,0,10.2,9.4,95,0.6,330,8
2016,5,29,4,30,10,9.4,96,0,0,0
2016,5,29,5,0,10.8,9.8,94,0.6,230,9
2016,5,29,5,30,10.3,9.3,94,0.6,100,8
2016,5,29,6,0,9.5,9.1,97,0.6,120,8
2016,5,29,6,30,11.1,9.9,92,0,0,0
2016,5,29,7,0,13.6,11.9,89,0,0,0
2016,5,29,7,30,14.5,11.5,82,0.6,190,9
2016,5,29,8,0,15.1,10.5,74,0,0,5
2016,5,29,8,30,16,10.5,70,0.6,50,5
2016,5,29,9,0,16.7,9.4,62,1.4,110,8
2016,5,29,9,30,17.7,8.5,55,0,0,5
2016,5,29,10,0,17.7,8.5,55,1.1,330,9
2016,5,29,10,30,18.8,9,53,3.1,250,15
2016,5,29,11,0,19.7,8.5,48,3.6,190,21
2016,5,29,11,30,19.7,8,47,2.2,320,17
2016,5,29,12,0,19.8,7.7,46,2.2,240,17
2016,5,29,12,30,20.4,5.3,37,2.5,310,15
2016,5,29,13,0,20.2,7.7,44,2.2,230,13
2016,5,29,13,30,20.2,7.8,45,1.4,30,11
2016,5,29,14,0,19.4,7.4,46,1.1,260,11
2016,5,29,14,30,19.4,5.5,40,1.4,170,11
2016,5,29,15,0,19.1,5.3,40,3.6,60,17
2016,5,29,15,30,17.9,6.3,47,3.6,70,17
2016,5,29,16,0,16,6.8,54,3.1,70,13
2016,5,29,16,30,15.1,6.7,57,2.5,50,11
2016,5,29,17,0,14.2,6.8,61,0.6,50,5
2016,5,29,17,30,13.3,7.3,67,1.4,260,9
2016,5,29,18,0,13.3,7.6,68,2.2,210,13
2016,5,29,18,30,12.9,7.3,69,2.5,260,13
2016,5,29,19,0,14,5.8,58,1.4,240,9
2016,5,29,19,30,13.9,3.7,50,1.4,250,8
2016,5,29,20,0,14.3,2.3,44,2.5,110,11
2016,5,29,20,30,13.9,2,44,0,0,0
2016,5,29,21,0,14.5,-0.4,36,2.2,180,9
2016,5,29,21,30,13.9,0.7,40,0,0,0
2016,5,29,22,0,14.1,1,41,0,0,0
2016,5,29,22,30,13.9,1.4,43,1.1,20,8
2016,5,29,23,0,15.7,-0.5,33,0.6,360,5
2016,5,29,23,30,16.3,-0.1,33,0,0,0
2016,5,30,0,0,15.7,0.6,36,1.1,320,8
2016,5,30,0,30,15.3,3.5,45,0.6,80,8
2016,5,30,1,0,15,5.5,53,0,0,0
2016,5,30,1,30,14.3,6.7,60,0,0,0
2016,5,30,2,0,13.4,7,65,0,0,0
2016,5,30,2,30,14.2,5.5,56,0,0,0
2016,5,30,3,0,13.8,5.8,58,0,0,0
2016,5,30,3,30,12.4,7.7,73,0,0,0
2016,5,30,4,0,12.1,8.5,79,0,0,0
2016,5,30,4,30,11.5,8.9,84,0,0,0
2016,5,30,5,0,11.8,8.8,82,0,0,0
2016,5,30,5,30,12.1,8.7,80,0,0,0
2016,5,30,6,0,12.4,8.1,75,0,0,0
2016,5,30,6,30,12.2,8.8,80,0,0,4
2016,5,30,7,0,12.3,9.5,83,0,0,0
2016,5,30,7,30,12.3,9.5,83,0,0,0
2016,5,30,8,0,12,9.8,86,0,0,0
2016,5,30,8,30,12,9.8,86,0,0,0
2016,5,30,9,0,12,10.2,89,2.2,340,9
2016,5,30,9,30,12.1,10.4,89,1.1,330,8
2016,5,30,10,0,12.6,10.9,89,0.6,360,8
2016,5,30,10,30,13.1,11,87,1.4,20,11
2016,5,30,11,0,13.5,11.8,89,2.2,60,13
2016,5,30,11,30,13.9,11.9,88,1.1,310,9
2016,5,30,12,0,14,12.2,89,1.4,120,11
2016,5,30,12,30,14.2,12.4,89,1.4,90,11
2016,5,30,13,0,14.7,12.3,86,2.5,90,13
2016,5,30,13,30,15,12.4,84,2.2,100,11
2016,5,30,14,0,15.3,12.4,83,2.5,80,11
2016,5,30,14,30,15.1,11.8,81,2.2,100,11
2016,5,30,15,0,14.2,12.2,88,2.2,90,11
2016,5,30,15,30,14.4,12.6,89,1.4,110,9
2016,5,30,16,0,14.5,12.7,89,0,0,5
2016,5,30,16,30,14.5,13.1,91,2.2,20,9
2016,5,30,17,0,14.2,13.3,94,2.2,340,9
2016,5,30,17,30,14,13.1,94,2.2,340,8
2016,5,30,18,0,14,13.1,94,2.2,290,9
2016,5,30,18,30,13.9,13.2,96,1.4,270,9
2016,5,30,19,0,13.9,13.4,97,1.4,250,8
2016,5,30,19,30,13.8,13.4,97,3.1,160,17
2016,5,30,20,0,13.8,13.4,97,1.4,340,11
2016,5,30,20,30,13.9,13.5,97,2.2,270,9
2016,5,30,21,0,14.2,13.8,97,0,0,0
2016,5,30,21,30,14.8,14.3,97,0,0,0
2016,5,30,22,0,14.9,14.4,97,0,0,0
2016,5,30,22,30,15.2,14.5,96,0,0,0
2016,5,30,23,0,14.4,13.5,94,1.1,340,8
2016,5,30,23,30,14.8,13.7,93,1.4,10,8
2016,5,31,0,0,14.6,13.2,91,0,0,0
2016,5,31,0,30,14.7,12.7,88,0.6,90,8
2016,5,31,1,0,14,12.9,93,0,0,0
2016,5,31,1,30,14.3,12.7,90,2.2,110,8
2016,5,31,2,0,14.2,12.2,88,1.1,10,8
2016,5,31,2,30,14,12,88,0,0,0
2016,5,31,3,0,13.6,11.9,89,0,0,0
2016,5,31,3,30,13.5,12,91,0,0,0
2016,5,31,4,0,13.3,12,92,0,0,0
